3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,,4.1,4.2,4.3,4.4,,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.1,5.11,5.12,,11-1横向测试答案,11-2横向测试答案,11-3横向测试答案,11-4横向测试答案
Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,,Right answer,Right answer,Right answer,Right answer,,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,Right answer,,Right answer,Right answer,Right answer,Right answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ability,cabinet,debt,faculty,hotel,moustache,potteries,roommates,taxi,,abnormal,famed,popular,almost,,a (great) variety of,bulletin board,contact lenses,emotion and mood,free for heating,hotel crime,living cost,on campus,range of English level,sky dome,theme garden,abbreviation,,caravan,canoe,rangers,code
abstract,cable,decade,failure,hotline,mouth,power,route,tea,,academic,familiar,positive,currently,,a balanced diet,breathtaking,cooperating research elements,end of term,free of charge,hunt for,living expenses,on foot,rapid population growth,sleeping pills,theme of project,access,,navigation,donation,measurement,maximum
accountant,cafe,decision,falcon,hunt,movie,powerpoint,rule,teacher,,accessible,famous,possible,directly,,a couple of,breed fish,coping with stress,endangered species,free transportation,house insurance,loans,on sale,raw materials,sleeping sickness,theme park,accessible,,demonstration,labels,voluntary,coconut
accuracy,cafeteria,decline,fan,hunting,muscle,precaution,safari,teaching,,accountable,fancy,potential,effectively,,a pair of glasses,British Council,corporate loan,energy industry,fruit juice,house key,local walking club,on small scale,rare lions,slide presentation,theoretical background,accident,,candles,luxury,darkroom,mould
acid,cage,decorations,fare,idea,museum,precision,safety,team,,accurate,fashionable,practical,efficiently,,a period of time,British Library,cost effective,engineers,fruit trees,housing agency,local history,one-way ticket,rare species,small scale,theoretical framework,affair,,canteen,lock-up,reflective,machinery
action,Cambridge,delay,farm,identification,music,preference,sail,jargon,,additional,favourite,precious,originally,,A plus,British Museum,cost of living,engineering room,functions and places,human beings,local industry,one-way,rare fish,small scar on his chin,tiger shark,announcement,,intermediate,warehouse,portfolio,elastic
activity,camel,delegate,farmer,identity,musical,preposition,sailing,term,,adequate,final,predictable,physically,,a series of,broaden one's horizon,costume party,engrave,full-time,human consumption,local pet shop,online shopping,reach one's destination,smoke alarms,theory chapters,assume,,vegetarian,ferries,fireplaces,vertical
actor,camera,delight,farming,image,musician,prescription,salad,technology,,advanced,financial,present,professionally,,a serious person,broaden one's view,cough mixture,enrollment fee,full name,human race,local product,open admission,readers,social activities,theory of application,accommodation,,campsite,comfortable,priority,accountable
adult,camp,delivery,fashion,impact,nap,presentation,salads,teeth,,advisable,fine,previous,rapidly,,a sharp turn,brother-in-law,country music,entrance fee,fur trade,human resources,local resident,open shelves,reading habits,social isolation,therapy method,recommendation,,helicopter,preservation,verbalisation,decisions
adventure,campus,demonstration,fat,imports,nature,preservation,salary,telephone,,allergic,firm,printed,regularly,,abilities,buses,course fee,environment agency,further education,ice curling,local school,open-book exam,reading hits,social issues,tilled land,annex,,donations,authority,nest,seasonal
advertisements,candidate,dentist,feast,inability,naught=nought,president,sale,telescope,,alternative,flexible,private,scarcely,,academic English,bus pass,course and materials,environmental damage,Garden Hall,ice pack,local shop,optic examination,reading list,social matter effects,third floor,according,,moonlight,flamingo,evaporation,herds
advertising,candle,department,feather,incoming,neck,prevention,salt,television,,amazing,foreign,professional,virtually,,academic problems,bus routes,course director,environmental issues,garden tools,ice skating,local student,optional course,reading session,social matters,third-year student,breeding,,mid-range,trails,hive,clay
advice,canteen,deposit,feature,index,net,printing,sample,temper,,ambiguous,formal,promising,,,academic system,business card,cover the cost,environmental science,generation of electricity,identities,local tribes,optional expenses,recall library books,social problems,thinking pattern,surrounding,,warehouse,poster,conservation,eco-cement
age,capital,depth,feedback,industry,newspaper,priority,sandal,temple,,ambitious,former,psychiatric,,,academic teaching staff,business class,craft goods,environmental studies,gas station,identity card,lookout points,oral defence,recall system,social status,way of thinking,cooking,,double-grill,altitude,networkers,nuts
agency,capsule,description,fellowship,infection,night,privacy,satellite,text,,analytical,free,psychological,,,accommodation expense,business culture,credit card,environmentally-friendly,general election,illegal profits,lock all windows,orange juice,receive prizes,social workers,timetable,account,,researcher,vegetation,ecosystem,arrows
agreement,carbon,desert,female,influence,noise,prize,sauce,texture,,ancient,frequent,public,,,accommodation fee,business ethics,creeks,Evening News,general English,in visible view,long-term loan,ordinary farmers,reception area,soft drinks,time measurement,accountancy,,website,calligraphy,flexibility,spears
agriculture,care,design,ferries,information,north,problem,saving,galaxy,,angry,fundamental,pure,,,accommodation form,business faculty,crime awareness,evening appointment,general English practice,immune system,loss of soil,organic farming,reception centre,soft toys,time priority,acounting,,charge,caravan,forestry,concentrated
aid,career,designer,festival,injection,northeast,product,scale,theft,,applied,further,purest,,,accountants,business studies,crime rate,exercise one's muscles,general health,in advance,lose temper,organic fiber,reception desk,sound efect,time management,addition,,access,layout,literature,shipping
aim,carpet,desire,field,injury,northwest,production,scandal,theory,,archaeological,general,Queen's,,,action plan,business trip,cross passage,exhibition of instruments,general ideas,in chemistry lab,loudspeaker,organic food,recreation therapy,solar system,title of essay,additional,,bills,format,regulator,segments
air,carving,desk,figure,inland,nose,professors,scandals,therapist,,artificial,genetic,random,,,added panic,cages,cultural differences,experimental for construction,general method,in circles,love story,organic material,recruit method,solar power,to some degree,address,,waitress,flooding,hammer,germs
